Product	Month	Year	Location	TargetSales
CHIMAY	Aug	2012	MUM	10
CHIMAY	Aug	2012	PUN	10
CHIMAY	Aug	2012	GGN	10
CHIMAY	Aug	2012	GOA	0
CHIMAY	Aug	2012	CDG	5
CHIMAY	Aug	2012	RAJ	5
CHIMAY	Aug	2012	KOL	0
WEIHENSTEPHANER	Aug	2012	DEL	75
WEIHENSTEPHANER	Aug	2012	MUM	15
WEIHENSTEPHANER	Aug	2012	PUN	10
WEIHENSTEPHANER	Aug	2012	GGN	10
WEIHENSTEPHANER	Aug	2012	GOA	0
WEIHENSTEPHANER	Aug	2012	CDG	0
WEIHENSTEPHANER	Aug	2012	RAJ	5
WEIHENSTEPHANER	Aug	2012	KOL	0
FRUEH	Aug	2012	DEL	75
FRUEH	Aug	2012	MUM	15
FRUEH	Aug	2012	PUN	10
FRUEH	Aug	2012	GGN	10
FRUEH	Aug	2012	GOA	0
FRUEH	Aug	2012	CDG	5
FRUEH	Aug	2012	RAJ	5
FRUEH	Aug	2012	KOL	0
ESTRELLA DAMM	Aug	2012	DEL	100
ESTRELLA DAMM	Aug	2012	MUM	30
ESTRELLA DAMM	Aug	2012	PUN	25
ESTRELLA DAMM	Aug	2012	GGN	35
ESTRELLA DAMM	Aug	2012	GOA	0
ESTRELLA DAMM	Aug	2012	CDG	10
ESTRELLA DAMM	Aug	2012	RAJ	15
ESTRELLA DAMM	Aug	2012	KOL	20
BROOKLYN LAGER	Aug	2012	DEL	150
BROOKLYN LAGER	Aug	2012	MUM	15
BROOKLYN LAGER	Aug	2012	PUN	15
BROOKLYN LAGER	Aug	2012	GGN	10
BROOKLYN LAGER	Aug	2012	GOA	0
BROOKLYN LAGER	Aug	2012	CDG	0
BROOKLYN LAGER	Aug	2012	RAJ	5
BROOKLYN LAGER	Aug	2012	KOL	0
BROOKLYN IPA	Aug	2012	DEL	75
BROOKLYN IPA	Aug	2012	MUM	15
BROOKLYN IPA	Aug	2012	PUN	15
BROOKLYN IPA	Aug	2012	GGN	10
BROOKLYN IPA	Aug	2012	GOA	0
BROOKLYN IPA	Aug	2012	CDG	0
BROOKLYN IPA	Aug	2012	RAJ	5
BROOKLYN IPA	Aug	2012	KOL	15
SAISON DUPONT	Aug	2012	DEL	0
SAISON DUPONT	Aug	2012	MUM	0
SAISON DUPONT	Aug	2012	PUN	0
SAISON DUPONT	Aug	2012	GGN	0
SAISON DUPONT	Aug	2012	GOA	0
SAISON DUPONT	Aug	2012	CDG	0
SAISON DUPONT	Aug	2012	RAJ	0
SAISON DUPONT	Aug	2012	KOL	0
DUVEL	Sep	2012	DEL	125
DUVEL	Sep	2012	MUM	20
DUVEL	Sep	2012	PUN	20
DUVEL	Sep	2012	GGN	10
DUVEL	Sep	2012	GOA	50
DUVEL	Sep	2012	CDG	10
DUVEL	Sep	2012	RAJ	3
DUVEL	Sep	2012	KOL	30
LIEFMANS	Sep	2012	DEL	100
LIEFMANS	Sep	2012	MUM	20
LIEFMANS	Sep	2012	PUN	15
LIEFMANS	Sep	2012	GGN	5
LIEFMANS	Sep	2012	GOA	0
LIEFMANS	Sep	2012	CDG	0
LIEFMANS	Sep	2012	RAJ	3
LIEFMANS	Sep	2012	KOL	0
CHIMAY	Sep	2012	DEL	75
CHIMAY	Sep	2012	MUM	25
CHIMAY	Sep	2012	PUN	20
CHIMAY	Sep	2012	GGN	10
CHIMAY	Sep	2012	GOA	0
CHIMAY	Sep	2012	CDG	10
CHIMAY	Sep	2012	RAJ	3
CHIMAY	Sep	2012	KOL	0
WEIHENSTEPHANER	Sep	2012	DEL	150
WEIHENSTEPHANER	Sep	2012	MUM	40
WEIHENSTEPHANER	Sep	2012	PUN	25
WEIHENSTEPHANER	Sep	2012	GGN	25
WEIHENSTEPHANER	Sep	2012	GOA	50
WEIHENSTEPHANER	Sep	2012	CDG	0
WEIHENSTEPHANER	Sep	2012	RAJ	3
WEIHENSTEPHANER	Sep	2012	KOL	0
FRUEH	Sep	2012	DEL	150
FRUEH	Sep	2012	MUM	40
FRUEH	Sep	2012	PUN	25
FRUEH	Sep	2012	GGN	25
FRUEH	Sep	2012	GOA	0
FRUEH	Sep	2012	CDG	10
FRUEH	Sep	2012	RAJ	3
FRUEH	Sep	2012	KOL	0
ESTRELLA DAMM	Sep	2012	DEL	100
ESTRELLA DAMM	Sep	2012	MUM	75
ESTRELLA DAMM	Sep	2012	PUN	50
ESTRELLA DAMM	Sep	2012	GGN	30
ESTRELLA DAMM	Sep	2012	GOA	50
ESTRELLA DAMM	Sep	2012	CDG	20
ESTRELLA DAMM	Sep	2012	RAJ	10
ESTRELLA DAMM	Sep	2012	KOL	40
BROOKLYN LAGER	Sep	2012	DEL	75
BROOKLYN LAGER	Sep	2012	MUM	15
BROOKLYN LAGER	Sep	2012	PUN	15
BROOKLYN LAGER	Sep	2012	GGN	5
BROOKLYN LAGER	Sep	2012	GOA	0
BROOKLYN LAGER	Sep	2012	CDG	0
BROOKLYN LAGER	Sep	2012	RAJ	2
BROOKLYN LAGER	Sep	2012	KOL	0
BROOKLYN IPA	Sep	2012	DEL	50
BROOKLYN IPA	Sep	2012	MUM	15
BROOKLYN IPA	Sep	2012	PUN	5
BROOKLYN IPA	Sep	2012	GGN	5
BROOKLYN IPA	Sep	2012	GOA	0
BROOKLYN IPA	Sep	2012	CDG	0
BROOKLYN IPA	Sep	2012	RAJ	3
BROOKLYN IPA	Sep	2012	KOL	30
SAISON DUPONT	Sep	2012	DEL	0
SAISON DUPONT	Sep	2012	MUM	0
SAISON DUPONT	Sep	2012	PUN	0
SAISON DUPONT	Sep	2012	GGN	0
SAISON DUPONT	Sep	2012	GOA	0
SAISON DUPONT	Sep	2012	CDG	0
SAISON DUPONT	Sep	2012	RAJ	0
SAISON DUPONT	Sep	2012	KOL	0
DUVEL	Oct	2012	DEL	50
DUVEL	Oct	2012	MUM	20
DUVEL	Oct	2012	PUN	20
DUVEL	Oct	2012	GGN	10
DUVEL	Oct	2012	GOA	10
DUVEL	Oct	2012	CDG	5
DUVEL	Oct	2012	RAJ	5
DUVEL	Oct	2012	KOL	15
LIEFMANS	Oct	2012	DEL	50
LIEFMANS	Oct	2012	MUM	20
LIEFMANS	Oct	2012	PUN	15
LIEFMANS	Oct	2012	GGN	5
LIEFMANS	Oct	2012	GOA	0
LIEFMANS	Oct	2012	CDG	0
LIEFMANS	Oct	2012	RAJ	5
LIEFMANS	Oct	2012	KOL	0
CHIMAY	Oct	2012	DEL	40
CHIMAY	Oct	2012	MUM	25
CHIMAY	Oct	2012	PUN	20
CHIMAY	Oct	2012	GGN	10
CHIMAY	Oct	2012	GOA	10
CHIMAY	Oct	2012	CDG	5
CHIMAY	Oct	2012	RAJ	5
CHIMAY	Oct	2012	KOL	0
WEIHENSTEPHANER	Oct	2012	DEL	150
WEIHENSTEPHANER	Oct	2012	MUM	40
WEIHENSTEPHANER	Oct	2012	PUN	25
WEIHENSTEPHANER	Oct	2012	GGN	15
WEIHENSTEPHANER	Oct	2012	GOA	0
WEIHENSTEPHANER	Oct	2012	CDG	0
WEIHENSTEPHANER	Oct	2012	RAJ	5
WEIHENSTEPHANER	Oct	2012	KOL	0
FRUEH	Oct	2012	DEL	150
FRUEH	Oct	2012	MUM	40
FRUEH	Oct	2012	PUN	25
FRUEH	Oct	2012	GGN	15
FRUEH	Oct	2012	GOA	10
FRUEH	Oct	2012	CDG	5
FRUEH	Oct	2012	RAJ	5
FRUEH	Oct	2012	KOL	0
ESTRELLA DAMM	Oct	2012	DEL	75
ESTRELLA DAMM	Oct	2012	MUM	75
ESTRELLA DAMM	Oct	2012	PUN	50
ESTRELLA DAMM	Oct	2012	GGN	25
ESTRELLA DAMM	Oct	2012	GOA	20
ESTRELLA DAMM	Oct	2012	CDG	10
ESTRELLA DAMM	Oct	2012	RAJ	15
ESTRELLA DAMM	Oct	2012	KOL	20
BROOKLYN LAGER	Oct	2012	DEL	50
BROOKLYN LAGER	Oct	2012	MUM	15
BROOKLYN LAGER	Oct	2012	PUN	15
BROOKLYN LAGER	Oct	2012	GGN	10
BROOKLYN LAGER	Oct	2012	GOA	0
BROOKLYN LAGER	Oct	2012	CDG	0
BROOKLYN LAGER	Oct	2012	RAJ	5
BROOKLYN LAGER	Oct	2012	KOL	0
