RollNo	InstallmentNo	PayMode	ChequeNo	ChequeDate	DrawnOn	ReceiptNo	BankPunchNo	FinalAmt	AdvanceAmt	BalanceAmt	LateFee	CreatedBy	CreatedDate	LastUpdatedBy	LastUpdatedDate	SchoolCode	Reclot	sendtoac	receivedate	chkbounce	reason	ForSession	Narration	ChqBounceFee
S0802797	5	CHEQUE	24068	00:00.0	THE NAINITAL BANK	1083		28450	0	0	0	lallan	44:50.0	lallan	28:27.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802293	5	CHEQUE	110700	00:00.0	STATE BANK OF INDIA	1084	NULL	11000	0	0	0	lallan	48:28.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802293	5	CHEQUE	2061	00:00.0	HDFC BANK	1085	NULL	17450	0	0	0	lallan	49:03.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0701366	5	CHEQUE	50501	00:00.0	AXIS	1086	NULL	27200	0	0	0	lallan	51:50.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0701773	5	CHEQUE	133829	00:00.0	HDFC BANK	1087	NULL	27200	0	0	0	lallan	57:36.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0701773	5	CHEQUE	133830	00:00.0	HDFC BANK	1088	NULL	1650	0	0	0	lallan	58:06.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903383	5	CHEQUE	16781	00:00.0	HDFC BANK	1089	NULL	55300	0	0	0	lallan	03:56.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903383	5	CHEQUE	101529	00:00.0	HDFC BANK	1090	NULL	9600	0	0	0	lallan	04:56.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903383	5	CHEQUE	101530	00:00.0	HDFC BANK	1091	NULL	1650	0	0	0	lallan	05:36.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802435	5	CHEQUE	511210	00:00.0	ICICI BANK	1092		26800	0	0	0	lallan	07:45.0	admin	23:27.0	NULL	0	0	00:00.0	0	NULL	NULL		0
