UserId	RecId	Item	ItemType	Variety	ForeQty	ForeMonth	QltyParam	UnderKPK	UOM	ForeYear
sdyadav	161	Seed	Groundnut	NULL	5	May	Rasdar	KPK0970	qntls	2012
jagdish0970	9923	Fertilizer	Urea	Shri Ram	3	May	Shri Ram	KPK0970	bags	2012
pdyadav0970	547	Seed	Groundnut	NULL	8	May	Rasdar	KPK0970	qntls	2012
ypsyadav0970	479	Seed	Groundnut	NULL	3	March	Rasdar	KPK0970	qntls	2012
mana0970	275	Fertilizer	DAP	IFFCO	2	May	IFFCO	KPK0970	bags	2012
juntha0970	9933	Fertilizer	Urea	Shri Ram	5	May	Shri Ram	KPK0970	bags	2012
rich0970	15252	Seed	Groundnut		5	May	Rasdar	kpk0970	qntls	2012
rudaram0970	102	Fertilizer	DAP	IFFCO	10	May	IFFCO	KPK0970	bags	2012
Mohan0970	272	Fertilizer	DAP	IFFCO	2	May	IFFCO	KPK0970	bags	2012
hanuman0970	428	Seed	Groundnut	NULL	2	May	Rasdar	KPK0970	qntls	2012
bhagi0970	9960	Fertilizer	DAP	IFFCO	10	May	IFFCO	KPK0970	bags	2012
psyadav0970	514	Seed	Groundnut	NULL	4	May	Rasdar	KPK0970	qntls	2012
pappu0970	9936	Fertilizer	DAP	IFFCO	5	May	IFFCO	KPK0970	bags	2012
lacha0970	451	Fertilizer	Urea	NULL	6	May	Shriram	KPK0970	bags	2012
rlgurjar0970	9941	Fertilizer	Urea	Shri Ram	18	May	Shri Ram	KPK0970	bags	2012
kajod10970	15254	Fertilizer	DAP	IFFCO	2	May	IFFCO	kpk0970	bags	2012
prabhu0970	15240	Fertilizer	Urea	Shri Ram	15	June	Shri Ram	kpk0970	bags	2012
mana0970	132	Fertilizer	Urea	Shri Ram	2	May	Shri Ram	KPK0970	bags	2012
suvalal0970	605	Seed	Groundnut	NULL	4	May	Rasdar	KPK0970	qntls	2012
boduram0970	9954	Seed	Pearl Millet		0.05	May	Mahyco	KPK0970	qntls	2012
psyadav0970	401	Seed	Pearl Millet	NULL	0.05	May	Pioneer	KPK0970	qntls	2012
bdyadav0970	296	Fertilizer	Urea	Shri Ram	4	May	Shri Ram	KPK0970	bags	2012
nacchuram0970	413	Fertilizer	Urea	NULL	6	May	Shri Ram	KPK0970	bags	2012
babu0970	171	Seed	Groundnut	NULL	6	May	Rasdar	KPK0970	qntls	2012
kcyadav0970	454	Fertilizer	Urea	Shri Ram	2	May	Shri Ram	KPK0970	bags	2012
nryadav	215	Fertilizer	DAP	IFFCO	5	May	IFFCO	KPK0970	bags	2012
bhagwan0970	9966	Seed	Pearl Millet		0.1	May	Mahyco	KPK0970	qntls	2012
daula0970	221	Seed	Groundnut	NULL	2	May	Rasdar	KPK0970	qntls	2012
deva0970	298	Fertilizer	DAP	IFFCO	2	May	IFFCO	KPK0970	bags	2012
suvalal0970	618	Fertilizer	Urea	NULL	4	May	Shri Ram	KPK0970	bags	2012
badri0970	355	Seed	Groundnut	NULL	2	May	Rasdar	KPK0970	qntls	2012
lacha0970	395	Seed	Groundnut	NULL	8	May	Rasdar	KPK0970	qntls	2012
ram0970	9927	Fertilizer	DAP	IFFCO	3	May	IFFCO	KPK0970	bags	2012
raghunath0970	582	Seed	Pearl Millet	NULL	0.1	May	Pioneer	KPK0970	qntls	2012
sdyadav	217	Fertilizer	Urea	Shri Ram	8	May	Shri Ram	KPK0970	bags	2012
bhura0970	431	Fertilizer	Urea	NULL	10	May	Shri Ram	KPK0970	bags	2012
kalu0970	15246	Seed	Groundnut		2	May	Rasdar	kpk0970	qntls	2012
